Bureau of Justice Statistics,,,,,,,
filename: mhppjiext01.csv,,,,,,,
Exhibit table 1. Symptoms of a mental health disorder among prison and jail inmates,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,
date of version: 09-06-06,,,,,,,

Exhibit table 1. Symptoms of a mental health disorder among prison and jail inmates,,,,,,,
,,Percent of inmates in —,,,,,
Symptoms in past 12 months or since admission,,State prison,,Federal prison,,Local jail,
Major depressive or mania symptoms,,,,,,,
,"Persistent sad, numb or empty mood",32.9,%,23.7,%,39.6,%
,Loss of interest or pleasure in activities,35.4,,30.8,,36.4,
,Increased or decreased appetite,32.4,,25.1,,42.8,
,Insomnia or hypersomnia,39.8,,32.8,,49.2,
,Psychomotor agitation or retardation,39.6,,31.4,,46.2,
,Feelings of worthlessness or excessive guilt,35,,25.3,,43,
,Diminished ability to concentrate or think,28.4,,21.3,,34.1,
,Ever attempted suicide,13,,6,,12.9,
,Persistent anger or irritability,37.8,,30.5,,49.4,
,Increased/decreased interest in sexual activities,34.4,,29,,29.5,
,Thoughts of revenge,28.4,,21.3,,34.1,
Psychotic disorder symptoms,,,,,,,
,Delusions ,11.8,%,7.8,%,17.5,%
,Hallucinations,7.9,,4.8,,13.7,
"Note: Data are based on inmate self-report in the Survey of Inmates in State and Federal Correctional Facilities, 2004, and the Survey of Inmates in Local Jails, 2002. ",,,,,,,
"See References for sources on measuring symptoms of mental disorders based on a modified Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV).",,,,,,,
