Bureau of Justice Statistics,,,,,,,
filename: mhppjiext02.csv,,,,,,,
Exhibit table 2. Number of positive responses to mental disorder symptoms among prison and jail inmates,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,
date of version: 09-06-06,,,,,,,

Exhibit table 2. Number of positive responses to mental disorder symptoms among prison and jail inmates,,,,,,,
,,Percent of inmates in —,,,,,
Number of positive responses,,State prison,,Federal prison,,Local jail,
Major depressive disorder symptoms,,,,,,,
,0,29.5,%,38.8,%,22.8,%
, 1-2,26.1,,27.9,,23.8,
, 3-4,20.5,,17.1,,23,
,5 or more,23.9,,16.2,,30.4,
Mania disorder symptoms,,,,,,,
,0,27.3,%,35.6,%,22.5,%
,1,21.5,,23.3,,17,
,2,20.5,,17.7,,20.1,
,3,17.7,,14,,22,
,4,13.1,,9.4,,18.4,
Psychotic disorder symptoms,,,,,,,
,0,84.6,%,89.8,%,76,%
,1,11.1,,7.8,,16.8,
,2,4.2,,2.4,,7.2,
