Bureau of Justice Statistics,,,,,,,,,,,,,,
filename: mhppjit05.csv,,,,,,,,,,,,,,
"Table 5. Substance dependence or abuse among prison and jail inmates, by mental health status",,,,,,,,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,
date of version: 09-06-06,,,,,,,,,,,,,,

"Table 5. Substance dependence or abuse among prison and jail inmates, by mental health status",,,,,,,,,,,,,,
,,,Percent of inmates in —,,,,,,,,,,,
,,,State prison,,,,Federal Prison,,,,Local jail ,,,
Substance dependence or abuse,,,With mental problem,,Without,,With mental problem,,Without,,With mental problem,,Without,
Any alcohol or drugs,,,74.1,%,55.6,%,63.6,%,49.5,%,76.4,%,53.2,%
,,Dependence,53.9,,34.5,,45.1,,27.3,,56.3,,25.4,
,,Abuse only,20.2,,21.1,,18.5,,22.2,,20.1,,27.8,
,Alcohol ,,50.8,%,36,%,43.7,%,30.3,%,53.4,%,34.6,%
,,Dependence,30.4,,17.9,,25.1,,12.7,,29,,11.8,
,,Abuse only,20.4,,18,,18.6,,17.7,,24.4,,22.8,
,Drugs,,61.9,%,42.6,%,53.2,%,39.2,%,63.3,%,36,%
,,Dependence,43.8,,26.1,,37.1,,22,,46,,17.6,
,,Abuse only,18,,16.5,,16.1,,17.2,,17.3,,18.4,
No dependence or abuse,,,25.9,%,44.4,%,36.4,%,50.5,%,23.6,%,46.8,%
"Note: Substance dependence or abuse was measured based on criteria specified in the Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV).",,,,,,,,,,,,,,
" For details, see Substance Dependence, Abuse, and Treatment of Jail Inmates, 2002, <http://www.ojp.usdoj.gov/bjs/abstract/sdatji02.htm>.",,,,,,,,,,,,,,
