Bureau of Justice Statistics,,,,,,,,,
filename: mhppjitt02.csv,,,,,,,,,
"Text table 2. Recent history and symptoms of mental health problems among prison and jail inmates, by gender",,,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,
date of version: 09-06-06,,,,,,,,,

"Text table 2. Recent history and symptoms of mental health problems among prison and jail inmates, by gender",,,,,,,,,
,,Percent of inmates in —,,,,,,,
,,State prison ,,,,Local jail ,,,
Mental problem*,,Male,,Female,,Male,,Female,
Recent history ,,22,%,48,%,18,%,40,%
,Diagnosed,8,,23,,9,,23,
,Overnight stay,5,,9,,4,,9,
,Medication,16,,39,,12,,30,
,Therapy,14,,32,,9,,23,
Symptoms ,,48,%,62,%,59,%,70,%
*See table 1 for detailed description of categories.,,,,,,,,,
