 Populations,2006-2010
 Total,17.1    SE 0.819    CI 15.5  / 18.7
 Sex,   
   Male,11.4    SE 0.874    CI 9.7  / 13.1
   Female,22.9    SE 1.196    CI 20.6  / 25.3
 Race/Ethnicity,   
   American Indian or Alaska Native only,---   
   Asian only,15.4    SE 3.419    CI 8.6  / 22.2
   Native Hawaiian or Other Pacific Islander only,---   
   Hispanic or Latino,18.5    SE 1.266    CI 16.0  / 21.0
   Not Hispanic or Latino,16.8    SE 0.935    CI 15.0  / 18.7
     Black or African American only not Hispanic or Latino,13.8    SE 1.038    CI 11.7  / 15.8
     White only not Hispanic or Latino,30.7    SE 1.626    CI 27.5  / 33.9
 Age group,   
   15-17,6.2    SE 0.616    CI 5.0  / 7.4
   18-24,21.7    SE 1.138    CI 19.5  / 24.0
 Family income (percent Federal Poverty Level),   
   <100,27.6    SE 2.238    CI 23.1  / 32.0
   100-199,25.7    SE 2.431    CI 20.9  / 30.5
   200-399,20.5    SE 1.938    CI 16.6  / 24.3
   400-499,22.5    SE 3.507    CI 15.6  / 29.5
   500+,18.2    SE 3.600    CI 11.1  / 25.4
 Family type,   
   Single,12.3    SE 0.696    CI 10.9  / 13.7
   Single parent with children,54.3    SE 3.289    CI 47.7  / 60.8
   Married couple or partners,40.6    SE 3.127    CI 34.4  / 46.8
   Two parent family with children,22.5    SE 2.742    CI 17.1  / 28.0
 Country of birth,   
   US,16.5    SE 0.856    CI 14.8  / 18.2
   Outside US,22.2    SE 2.023    CI 18.2  / 26.2
 Disability status,   
   People with activity limitations,20.9    SE 2.709    CI 15.6  / 26.3
   People without activity limitations,16.8    SE 0.79    CI 15.2  / 18.4
 Geographic location,   
   Metropolitan,17.0    SE 0.895    CI 15.2  / 18.8
   Non-metropolitan,17.6    SE 2.016    CI 13.6  / 21.6
 Health insurance status,   
   Insured,16.5    SE 0.918    CI 14.7  / 18.4
     Private,12.2    SE 0.906    CI 10.4  / 14.0
     Public,28.1    SE 1.498    CI 25.1  / 31.0
   Uninsured,19.5    SE 1.374    CI 16.8  / 22.2
 Sexual orientation,   
   Sexual orientation,   
   Heterosexual or straight,16.3    SE 0.823    CI 14.7  / 18.0
   Homosexual or gay/lesbian,31.6    SE 5.829    CI 20.1  / 43.2
   Bisexual,30.7    SE 4.034    CI 22.7  / 38.7
 Gender identity,   
   Gender identity,DNC   
 Marital status,   
   Married,26.2    SE 4.162    CI 17.9  / 34.4
   Cohabiting partner,34.2    SE 2.488    CI 29.2  / 39.1
   Divorced or separated,DSU   
   Widowed,DSU   
   Never married,13.7    SE 0.742    CI 12.2  / 15.2

