 Populations,2006-2010
 Total,35.1    SE 1.091    CI 32.9  / 37.3
 Race/Ethnicity,   
   American Indian or Alaska Native only,---   
   Asian only,41.3    SE 8.009    CI 25.4  / 57.2
   Native Hawaiian or Other Pacific Islander only,---   
   Hispanic or Latino,30.8    SE 2.375    CI 26.1  / 35.5
   Not Hispanic or Latino,36.1    SE 1.178    CI 33.7  / 38.4
     Black or African American only not Hispanic or Latino,41.9    SE 1.950    CI 38.0  / 45.7
     White only not Hispanic or Latino,34.1    SE 1.582    CI 31.0  / 37.3
 Age group,   
   15-17,59.1    SE 3.767    CI 51.6  / 66.6
   18-24,44.9    SE 2.028    CI 40.9  / 49.0
   25-44,25.9    SE 1.363    CI 23.2  / 28.6
 Educational attainment (25 years and over),   
   < High school,19.7    SE 2.432    CI 14.8  / 24.5
   High school,23.7    SE 2.288    CI 19.2  / 28.3
   Some college,23.0    SE 2.417    CI 18.2  / 27.8
   Associates degree,21.7    SE 3.413    CI 14.9  / 28.5
   4-year college degree,37.3    SE 3.512    CI 30.3  / 44.3
   Advanced degree,48.4    SE 5.526    CI 37.5  / 59.4
 Family income (percent Federal Poverty Level),   
   <100,27.7    SE 1.521    CI 24.7  / 30.7
   100-199,30.7    SE 2.004    CI 26.8  / 34.7
   200-399,35.9    SE 2.131    CI 31.6  / 40.1
   400-499,30.9    SE 4.037    CI 22.9  / 38.9
   500+,40.4    SE 5.397    CI 29.7  / 51.1
 Family type,   
   Single,51.7    SE 1.926    CI 47.9  / 55.5
   Single parent with children,30.6    SE 1.747    CI 27.1  / 34.0
   Married couple or partners,13.3    SE 1.650    CI 10.0  / 16.6
   Two parent family with children,23.7    SE 2.557    CI 18.6  / 28.8
 Country of birth,   
   US,35.6    SE 1.092    CI 33.5  / 37.8
   Outside US,31.2    SE 3.499    CI 24.3  / 38.2
 Disability status,   
   People with activity limitations,26.1    SE 2.635    CI 20.9  / 31.3
   People without activity limitations,36.1    SE 1.116    CI 33.8  / 38.3
 Geographic location,   
   Metropolitan,35.8    SE 1.065    CI 33.7  / 37.9
   Non-metropolitan,32.1    SE 3.603    CI 25.0  / 39.3
 Health insurance status,   
   Insured,36.5    SE 1.212    CI 34.1  / 38.9
     Private,40.5    SE 1.544    CI 37.4  / 43.6
     Public,28.8    SE 1.818    CI 25.1  / 32.4
   Uninsured,31.2    SE 1.793    CI 27.7  / 34.8
 Sexual orientation,   
   Sexual orientation,   
   Heterosexual or straight,34.9    SE 1.141    CI 32.6  / 37.2
   Homosexual or gay/lesbian,DSU   
   Bisexual,40.7    SE 3.989    CI 32.8  / 48.7
 Gender identity,   
   Gender identity,DNC   
 Marital status,   
   Cohabiting partner,17.6    SE 1.465    CI 14.6  / 20.5
   Divorced or separated,23.4    SE 2.901    CI 17.7  / 29.2
   Widowed,DSU   
   Never married,49.5    SE 1.605    CI 46.3  / 52.7

