 Populations,2007,2008,2009,2010
 Total,13.8   ,13.4   ,13.0   ,13.0   
 Sex,   ,   ,   ,   
   Male,20.6   ,20.1   ,19.8   ,20.0   
   Female,7.3   ,6.9   ,6.5   ,6.4   
 Race/Ethnicity,   ,   ,   ,   
   American Indian or Alaska Native only,6.9   ,9.0   ,7.2   ,9.0   
   Asian only,4.1   ,4.4   ,3.9   ,4.2   
   Native Hawaiian or Other Pacific Islander only,13.8   ,11.9   ,14.6   ,12.2   
   2 or more races,28.3   ,25.6   ,25.2   ,21.3   
   Hispanic or Latino,20.2   ,19.2   ,19.0   ,18.6   
   Not Hispanic or Latino,---   ,---   ,---   ,---   
     Black or African American only not Hispanic or Latino,55.5   ,54.3   ,52.1   ,53.4   
     White only not Hispanic or Latino,5.7   ,5.4   ,5.3   ,5.2   
 Sexual orientation,   ,   ,   ,   
   Sexual orientation,DNC   ,DNC   ,DNC   ,DNC   
 Gender identity,   ,   ,   ,   
   Gender identity,DNC   ,DNC   ,DNC   ,DNC   

